Date,Price,Open,High,Low,Change %
13-May-19,1.1224,1.1241,1.1266,1.1221,-0.10%
10-May-19,1.1235,1.1215,1.1255,1.1214,0.12%
9-May-19,1.1222,1.1194,1.1254,1.1174,0.27%
8-May-19,1.1192,1.1189,1.1215,1.1181,0.01%
7-May-19,1.1191,1.1198,1.1222,1.1165,-0.08%
6-May-19,1.12,1.1173,1.1212,1.116,-0.02%
3-May-19,1.1202,1.1178,1.1208,1.1135,0.21%
2-May-19,1.1179,1.1202,1.1221,1.1172,-0.15%
1-May-19,1.1196,1.1215,1.1267,1.1188,-0.19%
30-Apr-19,1.1217,1.1185,1.1232,1.1176,0.28%
29-Apr-19,1.1186,1.1153,1.1191,1.114,0.33%
26-Apr-19,1.1149,1.113,1.1175,1.1111,0.15%
25-Apr-19,1.1132,1.116,1.1164,1.1118,-0.20%
24-Apr-19,1.1154,1.1229,1.1233,1.1141,-0.65%
23-Apr-19,1.1227,1.1259,1.1264,1.1192,-0.28%
22-Apr-19,1.1258,1.1246,1.1265,1.1237,0.09%
19-Apr-19,1.1248,1.124,1.1255,1.1229,0.15%
18-Apr-19,1.1231,1.1297,1.1307,1.1226,-0.58%
17-Apr-19,1.1297,1.1282,1.1326,1.128,0.14%
16-Apr-19,1.1281,1.1304,1.1315,1.1279,-0.25%
15-Apr-19,1.1309,1.13,1.1323,1.1296,0.06%
12-Apr-19,1.1302,1.1255,1.1327,1.1253,0.44%
11-Apr-19,1.1253,1.1274,1.1293,1.1249,-0.19%
10-Apr-19,1.1274,1.1261,1.1286,1.1228,0.10%
9-Apr-19,1.1263,1.1272,1.1287,1.1255,0.02%
8-Apr-19,1.1261,1.1218,1.1277,1.1213,0.40%
5-Apr-19,1.1216,1.1223,1.1246,1.121,-0.04%
4-Apr-19,1.1221,1.1233,1.1249,1.1205,-0.12%
3-Apr-19,1.1235,1.1204,1.1256,1.12,0.28%
2-Apr-19,1.1204,1.1217,1.122,1.1183,-0.08%
1-Apr-19,1.1213,1.1217,1.125,1.1202,-0.04%
29-Mar-19,1.1218,1.122,1.1248,1.1208,-0.04%
28-Mar-19,1.1222,1.1244,1.1264,1.1214,-0.22%
27-Mar-19,1.1247,1.1266,1.1286,1.124,-0.17%
26-Mar-19,1.1266,1.1313,1.1329,1.1263,-0.42%
25-Mar-19,1.1313,1.1294,1.1334,1.1284,-0.01%
22-Mar-19,1.1314,1.1376,1.1393,1.1272,-0.54%
21-Mar-19,1.1375,1.1413,1.144,1.1342,-0.34%
20-Mar-19,1.1414,1.1352,1.145,1.1336,0.55%
19-Mar-19,1.1352,1.1338,1.1364,1.1334,0.13%
18-Mar-19,1.1337,1.1322,1.136,1.1316,0.11%
15-Mar-19,1.1325,1.1304,1.1345,1.1295,0.19%
14-Mar-19,1.1304,1.133,1.1343,1.1294,-0.20%
13-Mar-19,1.1327,1.1288,1.1341,1.1277,0.35%
12-Mar-19,1.1288,1.1249,1.1309,1.1244,0.35%
11-Mar-19,1.1249,1.124,1.126,1.1222,0.08%
8-Mar-19,1.124,1.1194,1.1248,1.1185,0.41%
7-Mar-19,1.1194,1.1306,1.1322,1.1176,-1.00%
6-Mar-19,1.1307,1.1313,1.1328,1.1286,-0.01%
5-Mar-19,1.1308,1.1339,1.1353,1.129,-0.28%
4-Mar-19,1.134,1.138,1.1398,1.1309,-0.33%
1-Mar-19,1.1377,1.1372,1.141,1.1353,0.05%
28-Feb-19,1.1371,1.1371,1.1421,1.1357,0.02%
27-Feb-19,1.1369,1.1396,1.1404,1.136,-0.16%
26-Feb-19,1.1387,1.1366,1.1404,1.1343,0.25%
25-Feb-19,1.1359,1.1338,1.1369,1.1323,0.14%
22-Feb-19,1.1343,1.1337,1.136,1.1315,0.06%
21-Feb-19,1.1336,1.1338,1.1368,1.132,-0.01%
20-Feb-19,1.1337,1.1342,1.1374,1.1324,-0.04%
19-Feb-19,1.1341,1.131,1.1358,1.1274,0.27%
18-Feb-19,1.1311,1.1288,1.1337,1.1284,0.14%
15-Feb-19,1.1295,1.1295,1.1313,1.1233,-0.05%
14-Feb-19,1.1301,1.1262,1.1313,1.1247,0.30%
13-Feb-19,1.1267,1.1326,1.1346,1.126,-0.51%
12-Feb-19,1.1325,1.128,1.1342,1.1256,0.43%
11-Feb-19,1.1276,1.1328,1.1331,1.1264,-0.48%
8-Feb-19,1.133,1.1346,1.1355,1.132,-0.10%
7-Feb-19,1.1341,1.136,1.1375,1.1322,-0.18%
6-Feb-19,1.1362,1.1406,1.142,1.1359,-0.46%
5-Feb-19,1.1415,1.1442,1.1456,1.14,-0.20%
4-Feb-19,1.1438,1.1457,1.1467,1.1421,-0.16%
1-Feb-19,1.1456,1.1447,1.149,1.1433,0.09%
31-Jan-19,1.1446,1.148,1.1517,1.1434,-0.29%
30-Jan-19,1.1479,1.1433,1.1503,1.1404,0.41%
29-Jan-19,1.1432,1.1428,1.1453,1.141,-0.02%
28-Jan-19,1.1434,1.1404,1.1445,1.1388,0.17%
25-Jan-19,1.1415,1.1306,1.1421,1.1298,0.96%
24-Jan-19,1.1306,1.138,1.1398,1.1287,-0.66%
23-Jan-19,1.1381,1.1358,1.1397,1.1348,0.19%
22-Jan-19,1.1359,1.1365,1.1386,1.1334,-0.06%
21-Jan-19,1.1366,1.1371,1.1409,1.1355,0.03%
18-Jan-19,1.1363,1.1389,1.1413,1.1352,-0.31%
17-Jan-19,1.1398,1.1396,1.141,1.1369,-0.02%
16-Jan-19,1.14,1.1414,1.1429,1.1377,-0.15%
15-Jan-19,1.1417,1.1473,1.1494,1.1381,-0.52%
14-Jan-19,1.1477,1.1471,1.1485,1.144,0.07%
11-Jan-19,1.1469,1.1499,1.1542,1.1457,-0.27%
10-Jan-19,1.15,1.1542,1.1572,1.1485,-0.37%
9-Jan-19,1.1543,1.1444,1.1556,1.1435,0.88%
8-Jan-19,1.1442,1.1476,1.1487,1.1422,-0.30%
7-Jan-19,1.1476,1.1392,1.1485,1.1392,0.71%
4-Jan-19,1.1395,1.1393,1.1422,1.1345,0.01%
3-Jan-19,1.1394,1.1345,1.1413,1.1309,0.45%
2-Jan-19,1.1343,1.1464,1.1499,1.1325,-1.06%
1-Jan-19,1.1464,1.1466,1.1481,1.1425,-0.05%
31-Dec-18,1.147,1.1443,1.147,1.1421,0.28%
28-Dec-18,1.1438,1.1429,1.1478,1.1424,0.07%
27-Dec-18,1.143,1.1353,1.1457,1.1349,0.68%
26-Dec-18,1.1353,1.1363,1.1423,1.1342,-0.08%
25-Dec-18,1.1362,1.14,1.1429,1.1361,-0.33%
24-Dec-18,1.14,1.137,1.1439,1.135,0.27%
21-Dec-18,1.1369,1.1447,1.1477,1.1353,-0.67%
20-Dec-18,1.1446,1.1377,1.1487,1.1371,0.61%
19-Dec-18,1.1377,1.1361,1.1442,1.136,0.14%
18-Dec-18,1.1361,1.1346,1.1402,1.1336,0.12%
17-Dec-18,1.1347,1.1308,1.136,1.1299,0.34%
14-Dec-18,1.1309,1.1362,1.1374,1.1268,-0.48%
13-Dec-18,1.1363,1.1369,1.1396,1.133,-0.04%
12-Dec-18,1.1368,1.1317,1.1388,1.1312,0.46%
11-Dec-18,1.1316,1.1361,1.1402,1.1304,-0.35%
10-Dec-18,1.1356,1.1401,1.1444,1.1349,-0.19%
7-Dec-18,1.1378,1.1377,1.1425,1.1359,0.02%
6-Dec-18,1.1376,1.1345,1.1414,1.1321,0.28%
5-Dec-18,1.1344,1.1342,1.1361,1.1309,-0.01%
4-Dec-18,1.1345,1.1354,1.1421,1.1318,-0.08%
3-Dec-18,1.1354,1.1315,1.1382,1.1315,0.33%
30-Nov-18,1.1317,1.1395,1.1402,1.1304,-0.67%
29-Nov-18,1.1393,1.1367,1.1403,1.1348,0.24%
28-Nov-18,1.1366,1.1291,1.1387,1.1264,0.69%
27-Nov-18,1.1288,1.1326,1.1344,1.1276,-0.35%
26-Nov-18,1.1328,1.1343,1.1385,1.1323,-0.11%
23-Nov-18,1.1341,1.1403,1.1422,1.1325,-0.59%
22-Nov-18,1.1408,1.1382,1.1434,1.1378,0.20%
21-Nov-18,1.1385,1.1371,1.1426,1.1363,0.12%
20-Nov-18,1.1371,1.1453,1.1473,1.1357,-0.72%
19-Nov-18,1.1453,1.1403,1.1467,1.1393,0.29%
16-Nov-18,1.142,1.133,1.1423,1.132,0.81%
15-Nov-18,1.1328,1.1309,1.1364,1.1271,0.16%
14-Nov-18,1.131,1.129,1.1349,1.1262,0.17%
13-Nov-18,1.1291,1.1219,1.1296,1.1216,0.65%
12-Nov-18,1.1218,1.1331,1.1333,1.1214,-1.04%
9-Nov-18,1.1336,1.1364,1.1371,1.1315,-0.24%
8-Nov-18,1.1363,1.1425,1.1448,1.1352,-0.55%
7-Nov-18,1.1426,1.1427,1.1502,1.1395,-0.01%
6-Nov-18,1.1427,1.1406,1.144,1.1389,0.18%
5-Nov-18,1.1407,1.1391,1.1425,1.1356,0.18%
2-Nov-18,1.1387,1.1408,1.1458,1.1372,-0.19%
1-Nov-18,1.1409,1.1311,1.1426,1.1306,0.86%
31-Oct-18,1.1312,1.1345,1.1363,1.1301,-0.28%
30-Oct-18,1.1344,1.1372,1.1387,1.1338,-0.25%
29-Oct-18,1.1373,1.1408,1.1418,1.1361,-0.26%
26-Oct-18,1.1403,1.1376,1.1422,1.1334,0.24%
25-Oct-18,1.1376,1.1392,1.1434,1.1355,-0.14%
24-Oct-18,1.1392,1.147,1.1477,1.1378,-0.69%
23-Oct-18,1.1471,1.1466,1.1495,1.1438,0.05%
22-Oct-18,1.1465,1.1507,1.1552,1.1455,-0.43%
19-Oct-18,1.1515,1.1451,1.1536,1.1433,0.54%
18-Oct-18,1.1453,1.15,1.1528,1.1448,-0.42%
17-Oct-18,1.1501,1.1575,1.1585,1.1495,-0.64%
16-Oct-18,1.1575,1.158,1.1623,1.1564,-0.03%
15-Oct-18,1.1579,1.1559,1.1608,1.1537,0.14%
12-Oct-18,1.1563,1.1592,1.1611,1.1534,-0.27%
11-Oct-18,1.1594,1.1519,1.16,1.1517,0.64%
10-Oct-18,1.152,1.1491,1.1547,1.1479,0.26%
9-Oct-18,1.149,1.1491,1.1504,1.143,-0.02%
8-Oct-18,1.1492,1.152,1.1536,1.1459,-0.28%
5-Oct-18,1.1524,1.1513,1.155,1.1483,0.08%
4-Oct-18,1.1515,1.1478,1.1543,1.1464,0.32%
3-Oct-18,1.1478,1.1548,1.1595,1.1465,-0.61%
2-Oct-18,1.1548,1.1578,1.1582,1.1506,-0.26%
1-Oct-18,1.1578,1.1609,1.163,1.1563,-0.27%
28-Sep-18,1.1609,1.1641,1.1652,1.1567,-0.27%
27-Sep-18,1.1641,1.174,1.1759,1.1637,-0.84%
26-Sep-18,1.174,1.1767,1.1799,1.1726,-0.27%
25-Sep-18,1.1772,1.1748,1.1793,1.173,0.20%
24-Sep-18,1.1748,1.1751,1.1817,1.1723,-0.02%
21-Sep-18,1.175,1.1776,1.1804,1.1731,-0.23%
20-Sep-18,1.1777,1.1671,1.1786,1.1665,0.89%
19-Sep-18,1.1673,1.1667,1.1716,1.1648,0.05%
18-Sep-18,1.1667,1.1684,1.1726,1.1651,-0.14%
17-Sep-18,1.1683,1.1623,1.1699,1.1617,0.46%
14-Sep-18,1.163,1.169,1.1724,1.1619,-0.51%
13-Sep-18,1.169,1.1627,1.1703,1.1608,0.55%
12-Sep-18,1.1626,1.1604,1.1651,1.157,0.16%
11-Sep-18,1.1607,1.1594,1.1645,1.1565,0.11%
10-Sep-18,1.1594,1.156,1.1617,1.1526,0.35%
7-Sep-18,1.1553,1.1624,1.1651,1.155,-0.59%
6-Sep-18,1.1622,1.1629,1.166,1.1603,-0.06%
5-Sep-18,1.1629,1.1581,1.164,1.1542,0.41%
4-Sep-18,1.1582,1.1623,1.1629,1.1528,-0.36%
3-Sep-18,1.1624,1.1596,1.1629,1.1583,0.20%
31-Aug-18,1.1601,1.1671,1.1692,1.1585,-0.60%
30-Aug-18,1.1671,1.1707,1.172,1.1641,-0.32%
29-Aug-18,1.1708,1.1695,1.1712,1.1652,0.11%
28-Aug-18,1.1695,1.1678,1.1735,1.1662,0.15%
27-Aug-18,1.1678,1.1631,1.1694,1.1592,0.47%
24-Aug-18,1.1623,1.154,1.1641,1.1533,0.73%
23-Aug-18,1.1539,1.1596,1.1601,1.153,-0.50%
22-Aug-18,1.1597,1.157,1.1624,1.1551,0.22%
21-Aug-18,1.1571,1.1482,1.1602,1.1479,0.78%
20-Aug-18,1.1481,1.1442,1.1486,1.1394,0.37%
17-Aug-18,1.1439,1.1377,1.1447,1.1365,0.54%
16-Aug-18,1.1377,1.1345,1.1411,1.1335,0.28%
15-Aug-18,1.1345,1.1344,1.1357,1.1299,0.01%
14-Aug-18,1.1344,1.141,1.1431,1.133,-0.57%
13-Aug-18,1.1409,1.1389,1.1434,1.1364,-0.02%
10-Aug-18,1.1411,1.1526,1.1537,1.1384,-1.01%
9-Aug-18,1.1527,1.1609,1.162,1.1525,-0.72%
