day,open,close
697,3.200000,3.210000
698,3.220000,3.180000
699,3.210000,3.230000
700,3.230000,3.230000
701,3.230000,3.220000
702,3.220000,3.230000
703,3.240000,3.270000
704,3.270000,3.280000
705,3.300000,3.250000
706,3.260000,3.300000
707,3.280000,3.250000
708,3.250000,3.230000
709,3.230000,3.270000
710,3.270000,3.240000
711,3.240000,3.270000
712,3.310000,3.320000
713,3.320000,3.320000
714,3.320000,3.310000
715,3.310000,3.280000
716,3.270000,3.270000
717,3.270000,3.260000
718,3.270000,3.230000
719,3.230000,3.160000
720,3.180000,3.120000
721,3.140000,3.240000
722,3.240000,3.250000
723,3.230000,3.240000
724,3.240000,3.250000
725,3.230000,3.230000
726,3.230000,3.230000
727,3.240000,3.230000
728,3.250000,3.210000
729,3.220000,3.240000
730,3.240000,3.240000
731,3.240000,3.240000
732,3.230000,3.250000
733,3.250000,3.260000
734,3.250000,3.220000
735,3.220000,3.260000
736,3.250000,3.250000
737,3.260000,3.230000
738,3.240000,3.220000
739,3.240000,3.230000
740,3.240000,3.220000
741,3.230000,3.230000
742,3.230000,3.230000
743,3.230000,3.220000
744,3.220000,3.200000
745,3.200000,3.230000
746,3.230000,3.240000
747,3.250000,3.320000
748,3.320000,3.340000
749,3.340000,3.320000
750,3.320000,3.320000
751,3.350000,3.290000
752,3.300000,3.330000
753,3.330000,3.340000
754,3.340000,3.320000
755,3.340000,3.370000
756,3.370000,3.330000
757,3.320000,3.300000
758,3.310000,3.370000
759,3.360000,3.320000
760,3.360000,3.350000
761,3.350000,3.350000
762,3.350000,3.370000
763,3.370000,3.360000
764,3.370000,3.390000
765,3.390000,3.390000
766,3.390000,3.380000
767,3.380000,3.380000
768,3.390000,3.400000
769,3.390000,3.360000
770,3.370000,3.480000
771,3.480000,3.480000
772,3.480000,3.600000
773,3.610000,3.630000
774,3.620000,3.570000
775,3.570000,3.580000
776,3.580000,3.550000
777,3.560000,3.600000
778,3.600000,3.600000
779,3.600000,3.600000
780,3.590000,3.540000
781,3.540000,3.570000
782,3.570000,3.590000
783,3.590000,3.560000
784,3.600000,3.600000
785,3.600000,3.600000
786,3.600000,3.620000
787,3.620000,3.610000
788,3.630000,3.740000
789,3.740000,3.650000
790,3.650000,3.670000
791,3.670000,3.660000
792,3.640000,3.620000
793,3.630000,3.630000
794,3.600000,3.590000
795,3.520000,3.430000
796,3.420000,3.410000
797,3.430000,3.450000
798,3.450000,3.560000
799,3.580000,3.630000
800,3.630000,3.600000
801,3.590000,3.460000
802,3.400000,3.510000
803,3.510000,3.500000
804,3.480000,3.390000
805,3.340000,3.200000
806,3.100000,2.980000
807,2.830000,2.850000
808,2.850000,2.850000
809,2.790000,2.610000
810,2.620000,2.900000
811,2.820000,2.750000
812,2.900000,2.900000
813,3.100000,2.990000
814,3.000000,2.960000
815,3.000000,3.040000
816,3.020000,2.970000
817,3.050000,3.090000
818,3.080000,3.070000
819,3.060000,3.170000
820,3.140000,3.090000
821,3.000000,3.070000
822,3.150000,3.170000
823,3.130000,3.100000
824,3.120000,3.110000
825,3.100000,3.160000
826,3.180000,3.310000
827,3.300000,3.380000
828,3.370000,3.490000
829,3.480000,3.390000
830,3.400000,3.400000
831,3.400000,3.330000
832,3.290000,3.340000
833,3.350000,3.400000
834,3.380000,3.310000
835,3.340000,3.320000
836,3.370000,3.350000
837,3.300000,3.310000
838,3.340000,3.300000
839,3.300000,3.230000
